Month,Sales,Time
2015-01-01,11631.887,0
2015-02-01,4519.892,1
2015-03-01,29067.387,2
2015-04-01,23742.805,3
2015-05-01,20928.373,4
2015-06-01,31056.5596,5
2015-07-01,23416.309,6
2015-08-01,27117.536500000002,7
2015-09-01,46874.6278,8
2015-10-01,28717.441,9
2015-11-01,60271.9247,10
2015-12-01,52503.9305,11
2016-01-01,10965.3936,12
2016-02-01,9409.431,13
2016-03-01,22834.4384,14
2016-04-01,30341.4985,15
2016-05-01,21618.4265,16
2016-06-01,20548.998,17
2016-07-01,26298.609,18
2016-08-01,30938.3822,19
2016-09-01,55821.472,20
2016-10-01,28558.3075,21
2016-11-01,58632.3575,22
2016-12-01,62168.5292,23
2017-01-01,18542.491,24
2017-02-01,14228.865,25
2017-03-01,29905.954999999998,26
2017-04-01,29579.837,27
2017-05-01,36080.182,28
2017-06-01,32223.758,29
2017-07-01,33090.743,30
2017-08-01,27655.1443,31
2017-09-01,59094.5873,32
2017-10-01,32147.197,33
2017-11-01,63160.9468,34
2017-12-01,80707.381,35
2018-01-01,24868.602,36
2018-02-01,19920.9974,37
2018-03-01,39463.5428,38
2018-04-01,22909.4111,39
2018-05-01,37662.1102,40
2018-06-01,42546.2917,41
2018-07-01,40029.944,42
2018-08-01,44436.408,43
2018-09-01,73989.127,44
2018-10-01,49095.6272,45
2018-11-01,89613.231,46
2018-12-01,77670.4768,47
